mjd,ra_deg,dec_deg,EL,elong,r,delta,utc
60980.33333333302,111.98915,9.90758,23.444765,106.286,17.04042321697,16.7353030742405,2025-Nov-01 08:00
60980.35416666698,111.98875,9.90743,29.69329,106.307,17.04054394025,16.7350831627747,2025-Nov-01 08:30
60980.375,111.98835,9.90729,35.869824,106.3279,17.04066466307,16.7348635835502,2025-Nov-01 09:00
60980.39583333302,111.98795,9.90714,41.918456,106.3489,17.04078538545,16.7346444031475,2025-Nov-01 09:30
60980.41666666698,111.98754,9.907,47.758997,106.3698,17.04090610738,16.7344256819319,2025-Nov-01 10:00
60981.33333333302,111.96987,9.90059,24.278421,107.28,17.04621743602,16.7249896179146,2025-Nov-02 08:00
60981.35416666698,111.96945,9.90045,30.519927,107.301,17.04633813839,16.7247715931126,2025-Nov-02 08:30
60981.375,111.96903,9.90031,36.682883,107.322,17.0464588403,16.7245539118955,2025-Nov-02 09:00
60981.39583333302,111.96861,9.90017,42.708842,107.3429,17.04657954177,16.7243366400786,2025-Nov-02 09:30
60981.41666666698,111.96818,9.90003,48.513225,107.3639,17.0467002428,16.7241198371163,2025-Nov-02 10:00
60982.33333333302,111.9496,9.89381,25.112381,108.2751,17.05201065174,16.7147674161968,2025-Nov-03 08:00
60982.35416666698,111.94916,9.89368,31.34608,108.2961,17.0521313332,16.7145513804086,2025-Nov-03 08:30
60982.375,111.94872,9.89354,37.4944,108.3171,17.05225201422,16.7143356994234,2025-Nov-03 09:00
60982.39583333302,111.94828,9.8934,43.49616,108.3381,17.05237269479,16.71412043827,2025-Nov-03 09:30
60982.41666666698,111.94783,9.89326,49.26206,108.3591,17.05249337491,16.7139056554727,2025-Nov-03 10:00
60983.33333333302,111.92835,9.88724,25.946545,109.2712,17.05780286463,16.7046412753293,2025-Nov-04 08:00
60983.35416666698,111.92789,9.8871,32.171617,109.2923,17.05792352521,16.7044273291123,2025-Nov-04 08:30
60983.375,111.92742,9.88697,38.304193,109.3133,17.05804418534,16.7042137487974,2025-Nov-04 09:00
60983.39583333302,111.92696,9.88684,44.280145,109.3343,17.05816484502,16.7040005986067,2025-Nov-04 09:30
60983.41666666698,111.92649,9.88671,50.005087,109.3553,17.05828550426,16.7037879361156,2025-Nov-04 10:00
60984.3125,111.90659,9.881,20.513816,110.2474,17.06347343508,16.6948279951869,2025-Nov-05 07:30
60984.33333333302,111.90611,9.88087,26.780809,110.2685,17.06359407522,16.6946159301729,2025-Nov-05 08:00
60984.35416666698,111.90563,9.88074,32.996407,110.2895,17.06371471492,16.6944041729655,2025-Nov-05 08:30
60984.375,111.90515,9.88061,39.112077,110.3106,17.06383535418,16.6941927926555,2025-Nov-05 09:00
60984.39583333302,111.90466,9.88048,45.060515,110.3316,17.06395599299,16.6939818526378,2025-Nov-05 09:30
60985.3125,111.8834,9.87483,21.352622,111.2457,17.06926366476,16.6849058730437,2025-Nov-06 07:30
60985.33333333302,111.8829,9.87471,27.615069,111.2668,17.06938428404,16.6846960847486,2025-Nov-06 08:00
60985.35416666698,111.88239,9.87459,33.82031,111.2879,17.06950490287,16.6844866158658,2025-Nov-06 08:30
60985.375,111.88189,9.87446,39.917853,111.3089,17.06962552126,16.6842775347914,2025-Nov-06 09:00
60985.39583333302,111.88138,9.87434,45.836973,111.33,17.0697461392,16.6840689040729,2025-Nov-06 09:30
60986.3125,111.85923,9.86888,22.19203,112.2451,17.07505289316,16.6750938745659,2025-Nov-07 07:30
60986.33333333302,111.85871,9.86877,28.44922,112.2662,17.07517349158,16.6748864633095,2025-Nov-07 08:00
60986.35416666698,111.85818,9.86865,34.643185,112.2873,17.07529408956,16.6746793830266,2025-Nov-07 08:30
60986.375,111.85766,9.86853,40.721318,112.3084,17.07541468709,16.674472701397,2025-Nov-07 09:00
60986.39583333302,111.85713,9.86841,46.609207,112.3294,17.07553528418,16.6742664801008,2025-Nov-07 09:30
60987.3125,111.83409,9.86315,23.031953,113.2455,17.08084112079,16.6653967904836,2025-Nov-08 07:30
60987.33333333302,111.83355,9.86304,29.28315,113.2666,17.08096169837,16.6651918583997,2025-Nov-08 08:00
60987.35416666698,111.83301,9.86292,35.464881,113.2877,17.0810822755,16.6649872688167,2025-Nov-08 08:30
60987.375,111.83246,9.86281,41.522251,113.3088,17.08120285219,16.6647830886763,2025-Nov-08 09:00
60987.39583333302,111.83191,9.86269,47.376881,113.3299,17.08132342842,16.6645793787715,2025-Nov-08 09:30
60988.3125,111.80799,9.85763,23.872296,114.2469,17.08662834815,16.6558195110924,2025-Nov-09 07:30
60988.33333333302,111.80743,9.85752,30.116743,114.268,17.08674890489,16.6556171625637,2025-Nov-09 08:00
60988.35416666698,111.80686,9.85741,36.285239,114.2891,17.08686946119,16.65541516803,2025-Nov-09 08:30
60988.375,111.8063,9.8573,42.320423,114.3103,17.08699001704,16.6552135936734,2025-Nov-09 09:00
60988.39583333302,111.80573,9.85719,48.139641,114.3314,17.08711057245,16.6550124993798,2025-Nov-09 09:30
60989.3125,111.78093,9.85234,24.712965,115.2493,17.09241457574,16.6463670358648,2025-Nov-10 07:30
60989.33333333302,111.78035,9.85223,30.949878,115.2704,17.09253511166,16.6461673774884,2025-Nov-10 08:00
60989.35416666698,111.77976,9.85213,37.104091,115.2916,17.09265564713,16.6459680845596,2025-Nov-10 08:30
60989.375,111.77918,9.85202,43.115585,115.3128,17.09277618216,16.6457692224792,2025-Nov-10 09:00
60989.39583333302,111.77859,9.85192,48.897103,115.3339,17.09289671674,16.6455708502062,2025-Nov-10 09:30
60990.3125,111.75291,9.84727,25.553858,116.2527,17.09819980405,16.6370444631014,2025-Nov-11 07:30
60990.33333333302,111.75231,9.84717,31.782424,116.2738,17.09832031915,16.6368476033134,2025-Nov-11 08:00
60990.35416666698,111.75171,9.84707,37.92126,116.295,17.09844083381,16.6366511203711,2025-Nov-11 08:30
60990.375,111.7511,9.84697,43.907475,116.3162,17.09856134802,16.6364550788722,2025-Nov-11 09:00
60990.39583333302,111.7505,9.84686,49.648861,116.3374,17.09868186178,16.6362595368293,2025-Nov-11 09:30
60991.29166666698,111.72457,9.84252,20.126227,117.2358,17.10386353881,16.6280512378088,2025-Nov-12 07:00
60991.3125,111.72395,9.84242,26.394872,117.257,17.10398403355,16.6278569675844,2025-Nov-12 07:30
60991.33333333302,111.72333,9.84233,32.614247,117.2782,17.10410452784,16.6276630161297,2025-Nov-12 08:00
60991.35416666698,111.72271,9.84223,38.736556,117.2994,17.1042250217,16.627469452849,2025-Nov-12 08:30
60991.375,111.72208,9.84213,44.695813,117.3206,17.10434551511,16.627276341516,2025-Nov-12 09:00
60992.29166666698,111.69469,9.8379,20.971557,118.241,17.10964679077,16.6190010377808,2025-Nov-13 07:00
60992.3125,111.69405,9.83781,27.235897,118.2622,17.10976726472,16.6188097744673,2025-Nov-13 07:30
60992.33333333302,111.69341,9.83772,33.445206,118.2834,17.10988773822,16.6186188418595,2025-Nov-13 08:00
60992.35416666698,111.69276,9.83763,39.549781,118.3046,17.11000821128,16.6184283086708,2025-Nov-13 08:30
60992.375,111.69212,9.83753,45.4803,118.3258,17.11012868389,16.6182382378296,2025-Nov-13 09:00
60993.29166666698,111.66387,9.83351,21.817497,119.247,17.11542904488,16.6100962803586,2025-Nov-14 07:00
60993.3125,111.66321,9.83343,28.076821,119.2682,17.11554949804,16.6099081348406,2025-Nov-14 07:30
